game_id,play_no,wp
401229004,54,0.968
401229004,55,0.939
401229004,56,0.881
401229004,57,0.835
401229004,58,0.889
401229004,59,0.951
401229004,60,0.965
401229004,61,0.964
401229004,62,0.935
401229004,63,0.959
401229004,64,0.974
401229004,65,0.963
401229004,66,0.953
401229004,67,0.885
401229004,68,0.731
401229004,69,0.832
401229004,70,0.855
401229004,71,0.847
401229004,72,0.945
401229004,73,0.983
401229004,74,0.984
401229004,75,0.975
401229004,76,0.967
401229004,77,0.989
401229004,78,0.998
401229004,79,1.0
401228352,0,0.65
401228352,1,0.662
401228352,2,0.561
401228352,3,0.568
401228352,4,0.545
401228352,5,0.528
401228352,6,0.516
401228352,7,0.535
401228352,8,0.547
401228352,9,0.551
401228352,10,0.525
401228352,11,0.506
401228352,12,0.494
401228352,13,0.452
401228352,14,0.478
401228352,15,0.505
401228352,16,0.522
401228352,17,0.588
401228352,18,0.659
401228352,19,0.606
401228352,20,0.824
401228352,21,0.838
401228352,22,0.826
401228352,23,0.807
401228352,24,0.828
401228352,25,0.842
401228352,26,0.848
401228352,27,0.837
401228352,28,0.828
401228352,29,0.822
401228352,30,0.843
401228352,31,0.815
401228352,32,0.841
401228352,33,0.797
401228352,34,0.856
401228352,35,0.845
401228352,36,0.838
401228352,37,0.833
401228352,38,0.731
401228352,39,0.673
401228352,40,0.6
401228352,41,0.492
401228352,42,0.6
401228352,43,0.643
401228352,44,0.613
401228352,45,0.587
401228352,46,0.568
401228352,47,0.502
401228352,48,0.401
401228352,49,0.43
401228352,50,0.536
401228352,51,0.646
401228352,52,0.608
401228352,53,0.811
401228352,54,0.797
401228352,55,0.788
401228352,56,0.843
401228352,57,0.88
401228352,58,0.902
401228352,59,0.904
401228352,60,0.884
401228352,61,0.879
401228352,62,0.939
401228352,63,0.98
401228352,64,1.0
401229306,0,0.416
401229306,1,0.367
401229306,2,0.4
401229306,3,0.372
401229306,4,0.451
401229306,5,0.285
401229306,6,0.315
401229306,7,0.291
401229306,8,0.274
401229306,9,0.262
401229306,10,0.279
401229306,11,0.284
401229306,12,0.201
401229306,13,0.192
401229306,14,0.184
401229306,15,0.211
401229306,16,0.188
401229306,17,0.21
401229306,18,0.182
401229306,19,0.164
401229306,20,0.177
401229306,21,0.186
401229306,22,0.181
401229306,23,0.195
401229306,24,0.173
401229306,25,0.168
401229306,26,0.25
401229306,27,0.28
401229306,28,0.485
401229306,29,0.47
401229306,30,0.483
401229306,31,0.505
401229306,32,0.516
401229306,33,0.487
401229306,34,0.466
401229306,35,0.453
401229306,36,0.409
401229306,37,0.281
401229306,38,0.354
401229306,39,0.206
401229306,40,0.187
401229306,41,0.104
401229306,42,0.123
401229306,43,0.147
401229306,44,0.125
401229306,45,0.119
401229306,46,0.196
401229306,47,0.187
401229306,48,0.16
401229306,49,0.133
401229306,50,0.17
401229306,51,0.231
401229306,52,0.19
401229306,53,0.249
401229306,54,0.192
401229306,55,0.147
401229306,56,0.16
401229306,57,0.147
401229306,58,0.14
401229306,59,0.143
401229306,60,0.093
401229306,61,0.13
401229306,62,0.23
401229306,63,0.24
401229306,64,0.238
401229306,65,0.277
401229306,66,0.32
401229306,67,0.547
401229306,68,0.454
401229306,69,0.5
401229306,70,0.54
401229306,71,0.529
401229306,72,0.581
401229306,73,0.534
401229306,74,0.499
401229306,75,0.464
401229306,76,0.398
401229306,77,0.47
401229306,78,0.554
401229306,79,0.588
401229306,80,0.569
401229306,81,0.528
401229306,82,0.509
401229306,83,0.332
401229306,84,0.443
401229306,85,0.447
401229306,86,0.821
401229306,87,1.0
401227931,0,0.7
401227931,1,0.707
401227931,2,0.709
401227931,3,0.692
401227931,4,0.68
401227931,5,0.672
401227931,6,0.69
401227931,7,0.696
401227931,8,0.696
401227931,9,0.676
401227931,10,0.664
401227931,11,0.656
401227931,12,0.669
401227931,13,0.673
401227931,14,0.654
401227931,15,0.636
401227931,16,0.623
401227931,17,0.629
401227931,18,0.647
401227931,19,0.603
401227931,20,0.641
